Marque;Modele;Prix;Annee;Kilometrage;Energie;Transmission;Nombres de portes;Puissance;Nombre de places;Emission de CO2;Consommation de carburant;Couleur;Url
Opel;Corsa;4490;2010;166200;GPL ou GNL;Manuelle;4;4;5;127;7.8;Bleu;https://www.paruvendu.fr/a/voiture-occasion/opel/corsa/1272210098A1KVVOOPCOR
Dacia;Sandero;1000;2010;210000;GPL ou GNL;Manuelle;4;5;5;153;6.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1275253831A1KVVODCSAN
Dacia;Sandero;4490;2010;139000;GPL ou GNL;Manuelle;4;5;5;153;6.5;Bleu;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1264693821A1KVVODCSAN
Dacia;Sandero;2990;2010;166000;GPL ou GNL;Manuelle;4;5;5;153;6.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1275228385A1KVVODCSAN
Renault;Clio;3000;2007;178700;GPL ou GNL;Manuelle;4;4;5;143;5.0;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-ii/1275173785A1KVVORECL2
Dacia;Sandero;4490;2009;172420;GPL ou GNL;Manuelle;4;5;5;153;6.5;Gris;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274287763A1KVVODCSAN
Renault;Clio;5500;2010;56000;GPL ou GNL;Manuelle;4;4;5;143;6.0;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-ii/1275109594A1KVVORECL2
Renault;Clio;3990;2010;160000;GPL ou GNL;Manuelle;2;4;5;139;5.9;Noir;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iii/1273464309A1KVVORECL3
Dacia;Duster;9490;2014;144000;GPL ou GNL;Manuelle;4;6;5;165;7.2;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1274824967A1KVVODCDUS
Dacia;Duster;7700;2014;113000;GPL ou GNL;Manuelle;4;6;5;165;7.2;Gris;https://www.paruvendu.fr/a/voiture-occasion/dacia/duster/1274873292A1KVVODCDUS
Dacia;Sandero;3990;2010;145000;GPL ou GNL;Manuelle;4;5;5;153;6.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1270902362A1KVVODCSAN
Citroen;Saxo;2690;2000;151100;GPL ou GNL;Manuelle;2;4;5;141;8.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/citroen/saxo/1274655658A1KVVOCISAX
Dacia;Sandero;5790;2009;101050;GPL ou GNL;Manuelle;4;5;5;153;6.5;Rouge;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274653335A1KVVODCSAN
Fiat;Panda;4300;2009;64000;GPL ou GNL;Manuelle;2;3;2;146;6.2;Bleu;https://www.paruvendu.fr/a/voiture-occasion/fiat/panda/1274607506A1KVVOFIPAN
Dacia;Sandero;3300;2009;170120;GPL ou GNL;Manuelle;4;5;5;135;5.8;Rouge;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274477731A1KVVODCSAN
Dacia;Sandero;9000;2018;54000;GPL ou GNL;Manuelle;4;4;5;109;4.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274477426A1KVVODCSAN
Dacia;Sandero;3990;2009;142000;GPL ou GNL;Manuelle;4;5;5;153;6.5;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274342462A1KVVODCSAN
Dacia;Sandero;5490;2010;87000;GPL ou GNL;Manuelle;4;5;5;153;6.5;Bleu;https://www.paruvendu.fr/a/voiture-occasion/dacia/sandero/1274313183A1KVVODCSAN
Renault;Twingo;1990;2003;164000;GPL ou GNL;Manuelle;2;4;4;138;5.8;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/twingo/1271949747A1KVVORETWI
Chevrolet;Spark;3200;2010;157000;GPL ou GNL;Manuelle;4;4;5;110;5.1;Bleu;https://www.paruvendu.fr/a/voiture-occasion/chevrolet/spark/1274062323A1KVVOCVSPA
Dacia;Lodgy;9500;2017;135123;GPL ou GNL;Manuelle;4;6;5;139;6.1;Blanc;https://www.paruvendu.fr/a/voiture-occasion/dacia/lodgy/1274008998A1KVVODCLOD
Fiat;Punto;4700;2010;68578;GPL ou GNL;Manuelle;4;4;5;149;6.3;Noir;https://www.paruvendu.fr/a/voiture-occasion/fiat/punto/1271103415A1KVVOFIPUN
Renault;Clio;3000;2010;184000;GPL ou GNL;Manuelle;2;4;5;139;5.9;Gris;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iii/1271896349A1KVVORECL3
Renault;Clio;2000;2010;165500;GPL ou GNL;Manuelle;4;4;5;143;6.0;Rouge;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-ii/1271829008A1KVVORECL2
Renault;Clio;4500;2010;140000;GPL ou GNL;Manuelle;2;4;5;139;5.9;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iii/1274268328A1KVVORECL3
Audi;S3;34900;2019;47000;Essence;Semi automatique;4;20;5;149;6.4;Gris;https://www.paruvendu.fr/a/voiture-occasion/audi/s3/1275062812A1KVVOAUS3
Renault;Clio;10500;2019;62000;Essence;Manuelle;4;4;5;113;5.0;Blanc;https://www.paruvendu.fr/a/voiture-occasion/renault/clio-iv/1275041564A1KVVORECL4
